"Sentrix_ID","Tumor_Group","Color"
"205852210147_R05C01","EWS","#7EDE7A"
"205852210147_R06C01","EWS","#7EDE7A"
"205852210147_R08C01","EWS","#7EDE7A"
"205852220009_R01C01","EWS","#7EDE7A"
"205852220009_R04C01","EWS","#7EDE7A"
"206382220036_R04C01","EWS","#7EDE7A"
"206430120145_R01C01","EWS","#7EDE7A"
"206154070111_R01C01","EWS","#7EDE7A"
"206250410104_R02C01","EWS","#7EDE7A"
"206250290044_R01C01","EWS","#7EDE7A"
"204551190126_R08C01","LIVER","lightsalmon"
"204596820035_R07C01","LIVER","lightsalmon"
"204596820079_R08C01","LIVER","lightsalmon"
"204424040069_R04C01","LIVER","lightsalmon"
"204424040069_R07C01","LIVER","lightsalmon"
"204424030008_R03C01","LIVER","lightsalmon"
"204424040112_R03C01","LIVER","lightsalmon"
"205025380159_R03C01","LIVER","lightsalmon"
"205025380159_R05C01","LIVER","lightsalmon"
"205091240067_R01C01","LIVER","lightsalmon"
"205030230116_R08C01","LIVER","lightsalmon"
"205091240067_R03C01","LIVER","lightsalmon"
"205091240067_R04C01","LIVER","lightsalmon"
"205030230116_R05C01","LIVER","lightsalmon"
"205091240067_R05C01","LIVER","lightsalmon"
"205091240067_R06C01","LIVER","lightsalmon"
"205091240057_R01C01","LIVER","lightsalmon"
"205030230116_R07C01","LIVER","lightsalmon"
"205030230142_R02C01","LIVER","lightsalmon"
"205030230142_R04C01","LIVER","lightsalmon"
"205030230142_R05C01","LIVER","lightsalmon"
"205624880143_R03C01","LIVER","lightsalmon"
"205624880152_R07C01","LIVER","lightsalmon"
"205624870126_R01C01","LIVER","lightsalmon"
"205624870126_R02C01","LIVER","lightsalmon"
"205624870126_R05C01","LIVER","lightsalmon"
"205624870126_R07C01","LIVER","lightsalmon"
"205624880038_R01C01","LIVER","lightsalmon"
"205624880038_R02C01","LIVER","lightsalmon"
"205624880038_R03C01","LIVER","lightsalmon"
"205624880038_R04C01","LIVER","lightsalmon"
"205624880038_R06C01","LIVER","lightsalmon"
"205624880038_R07C01","LIVER","lightsalmon"
"205624880039_R01C01","LIVER","lightsalmon"
"205624880039_R02C01","LIVER","lightsalmon"
"205624880039_R04C01","LIVER","lightsalmon"
"205624880039_R08C01","LIVER","lightsalmon"
"205624880067_R01C01","LIVER","lightsalmon"
"205624880067_R02C01","LIVER","lightsalmon"
"205624880067_R04C01","LIVER","lightsalmon"
"205676380010_R07C01","LIVER","lightsalmon"
"205676380066_R03C01","LIVER","lightsalmon"
"205676380144_R01C01","LIVER","lightsalmon"
"205676380144_R02C01","LIVER","lightsalmon"
"205676380144_R03C01","LIVER","lightsalmon"
"205707890043_R02C01","LIVER","lightsalmon"
"205707890043_R04C01","LIVER","lightsalmon"
"205707890043_R07C01","MRT","lightsalmon"
"205707890043_R08C01","LIVER","lightsalmon"
"205707890044_R01C01","LIVER","lightsalmon"
"205707890044_R02C01","MRT","lightsalmon"
