"Sample","meth.class","meth.family","col"
"GSM2402874_5911815023_R06C01","CONTR, CEBM","CONTR, CEBM","#bdbdbd"
"GSM2402875_5684819026_R02C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402876_6164621155_R05C02","GBM, G34","GBM, G34","#55c056"
"GSM2402877_6164621081_R06C02","GBM, G34","GBM, G34","#55c056"
"GSM2402878_6164621131_R02C02","GBM, G34","GBM, G34","#55c056"
"GSM2402879_6164621081_R06C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402880_6164621081_R04C02","GBM, G34","GBM, G34","#55c056"
"GSM2402881_6164621155_R03C01","DMG, K27","DMG, K27","#a3f187"
"GSM2402882_6164621131_R02C01","GBM, G34","GBM, G34","#55c056"
"GSM2402883_6164621131_R05C02","GBM, G34","GBM, G34","#55c056"
"GSM2402884_6969568005_R02C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402885_6929689168_R02C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402886_6969568005_R03C01","CONTR, REACT","CONTR, REACT","#d7d7d7"
"GSM2402887_6969568005_R04C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402888_6969568005_R05C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402889_6969568005_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402890_6929689168_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402891_6969568005_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402892_6164621144_R06C02","LGG, PA MID","MCF PA","#b890e0"
"GSM2402893_6969568005_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402894_6969568005_R04C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402895_6969568005_R05C02","LGG, PA MID","MCF PA","#b890e0"
"GSM2402896_6969568005_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402897_6929689153_R02C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2402898_6929689153_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402899_6929689153_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402900_6929689153_R02C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402901_6929689153_R04C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402902_6929689153_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402903_6929689153_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402904_6929689161_R01C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402905_6929689161_R04C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2402906_6929689161_R05C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402907_6929689161_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402908_6929689161_R01C02","LGG, RGNT","LGG, RGNT","#f79246"
"GSM2402909_6929689168_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402910_6929689168_R01C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402911_6929689152_R06C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2402912_6929689168_R05C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402913_6929689168_R02C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402914_6929689168_R03C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402915_6929689168_R06C01","ATRT, MYC","MCF ATRT","#006ead"
"GSM2402916_6929689168_R01C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402917_6164621144_R04C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402918_6969568004_R01C01","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402919_6164621144_R04C01","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402920_6164621144_R05C01","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402921_6164621144_R02C01","ATRT, MYC","MCF ATRT","#006ead"
"GSM2402922_6929689152_R05C02","LGG, PA GG ST","MCF PA","#764e90"
"GSM2402923_6929689136_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402924_6929689136_R04C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402925_6929689136_R05C02","LGG, SEGA","LGG, SEGA","#ad6ef1"
"GSM2402926_6929689136_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402927_6929689152_R01C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402928_6929689152_R02C01","CONTR, REACT","CONTR, REACT","#d7d7d7"
"GSM2402929_6929689152_R03C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2402930_6929689152_R04C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2402931_6929689152_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402932_6929689152_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402933_6929689161_R03C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2402934_6929689161_R04C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2402935_6929689161_R05C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2402936_6929689161_R06C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2402937_6929689161_R02C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2402938_6969568004_R06C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2402939_6969568004_R01C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2402940_6969568004_R02C02","MB, SHH INF","MCF MB SHH ","#8bc0ff"
"GSM2402941_6969568004_R04C02","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2402942_6969568004_R05C02","MB, SHH INF","MCF MB SHH ","#8bc0ff"
"GSM2402943_6969568004_R06C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2402944_6929689136_R01C01","MB, G3","MCF MB G3G4","#0581be"
"GSM2402945_6929689136_R02C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2402946_6929689136_R03C01","MB, G3","MCF MB G3G4","#0581be"
"GSM2402947_6929689136_R04C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2402948_6929689136_R05C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2402949_6929689136_R06C01","MB, G3","MCF MB G3G4","#0581be"
"GSM2402950_6929689136_R01C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2402951_6969568004_R03C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2402952_6969568004_R04C01","MB, G3","MCF MB G3G4","#0581be"
"GSM2402953_6164621144_R03C02","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402954_6164621144_R02C02","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402955_6164621144_R06C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402956_6164621144_R01C02","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402957_6969568004_R02C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402958_6929718017_R01C01","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402959_6929718027_R01C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402960_6929718027_R02C01","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402961_6929718026_R05C02","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402962_6929718027_R06C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402963_6929718027_R04C01","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2402964_6929718017_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402965_6929718017_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402966_6929718017_R02C02","CONTR, REACT","CONTR, REACT","#d7d7d7"
"GSM2402967_6929718017_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402968_6929718017_R02C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402969_6929718026_R01C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402970_6929718026_R02C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402971_6929718017_R03C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2402972_6929718017_R04C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2402973_6929718017_R05C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2402974_6929718026_R06C01","ATRT, MYC","MCF ATRT","#006ead"
"GSM2402975_6929718026_R01C02","ATRT, MYC","MCF ATRT","#006ead"
"GSM2402976_6929718027_R03C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2402977_6929718027_R04C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2402978_6929718027_R05C02","PIN T, PB A","PIN T,  PB A","#cbf5af"
"GSM2402979_6929689149_R01C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2402980_6929689149_R03C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2402981_6929718050_R02C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2402982_6929718049_R01C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2402983_6929718050_R01C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2402984_6929718049_R02C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2402985_6929718049_R03C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2402986_6929718049_R04C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2402987_6929718049_R05C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2402988_6929718050_R03C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2402989_6929689149_R06C01","SUBEPN, PF","SUBEPN, PF","#dd052e"
"GSM2402990_6929689149_R01C02","PTPR, B","PTPR, B","#bfff9c"
"GSM2402991_6929689149_R02C02","SUBEPN, ST","SUBEPN, ST","#ff4156"
"GSM2402992_6929689149_R03C02","EPN, YAP","EPN, YAP","#fe576c"
"GSM2402993_6929689149_R05C01","EPN, PF A","EPN, PF A","#e30149"
"GSM2402994_6929718050_R04C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2402995_6929689149_R04C01","EPN, PF A","EPN, PF A","#e30149"
"GSM2402996_6929689149_R04C02","EPN, PF B","EPN, PF B","#df3854"
"GSM2402997_6929718001_R01C02","EFT, CIC","EFT, CIC","#955c9d"
"GSM2402998_6929718001_R03C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2402999_6929718020_R03C02","ETMR","ETMR","#1693d6"
"GSM2403000_6929718020_R05C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2403001_6929718057_R03C02","ETMR","ETMR","#1693d6"
"GSM2403002_6929718057_R04C02","ETMR","ETMR","#1693d6"
"GSM2403003_6929689149_R06C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2403004_6929718001_R04C02","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403005_6929718001_R05C02","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403006_6929718009_R01C01","MB, SHH INF","MCF MB SHH ","#8bc0ff"
"GSM2403007_6929718009_R02C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403008_6929718009_R03C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403009_6929718009_R04C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2403010_6929718009_R05C01","LYMPHO","LYMPHO","#3c1b46"
"GSM2403011_6929718009_R06C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403012_6929718009_R01C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403013_6929718009_R02C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403014_6929718009_R03C02","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403015_6929718009_R04C02","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403016_6929718009_R05C02","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403017_6929718009_R06C02","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403018_6929718020_R01C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403019_6929718020_R02C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403020_6929718020_R03C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403021_6929718020_R04C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403022_6929718020_R05C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403023_6929718020_R01C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403024_6929718020_R02C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403025_6929718001_R06C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403026_6929718049_R06C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2403027_6929718049_R03C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2403028_6929718049_R01C01","ETMR","ETMR","#1693d6"
"GSM2403029_6929793058_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403030_6929793058_R03C02","LGG, PA MID","MCF PA","#b890e0"
"GSM2403031_6929793058_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403032_6929793089_R03C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403033_6929793089_R04C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403034_6929793061_R01C02","MB, SHH INF","MCF MB SHH ","#8bc0ff"
"GSM2403035_6929793061_R02C02","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403036_6929793061_R06C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403037_6929793061_R03C02","MB, SHH INF","MCF MB SHH ","#8bc0ff"
"GSM2403038_6929793052_R06C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403039_6929793061_R01C01","MB, G3","MCF MB G3G4","#0581be"
"GSM2403040_6929793061_R02C01","MB, G3","MCF MB G3G4","#0581be"
"GSM2403041_6929793061_R03C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403042_6929793052_R02C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403043_6929793061_R04C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403044_6929793061_R05C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403045_6929793052_R03C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2403046_6929793052_R04C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403047_6229009095_R06C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2403048_6229009095_R02C02","ETMR","ETMR","#1693d6"
"GSM2403049_6229017094_R01C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403050_6229017094_R02C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403051_6229017094_R03C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403052_6229017094_R04C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403053_6229017094_R05C01","MB, SHH INF","MCF MB SHH ","#8bc0ff"
"GSM2403054_6229017094_R06C01","MB, G3","MCF MB G3G4","#0581be"
"GSM2403055_6229017094_R01C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2403056_6229017094_R02C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403057_6229017094_R03C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403058_6229017094_R04C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2403059_6229017094_R05C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2403060_6229017094_R06C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403061_6229017023_R04C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2403062_6229017057_R05C02","ETMR","ETMR","#1693d6"
"GSM2403063_6229017023_R05C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2403064_6229017057_R01C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403065_6229017023_R02C01","ETMR","ETMR","#1693d6"
"GSM2403066_6229017057_R04C01","ETMR","ETMR","#1693d6"
"GSM2403067_6229017022_R04C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2403068_6229017022_R02C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2403069_6229017057_R05C01","HGNET, BCOR","HGNET, BCOR","#739aca"
"GSM2403070_6229017022_R06C02","ATRT, MYC","MCF ATRT","#006ead"
"GSM2403071_6247004023_R01C01","ETMR","ETMR","#1693d6"
"GSM2403072_6247004023_R03C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2403073_6247004023_R04C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2403074_6247004023_R02C01","ETMR","ETMR","#1693d6"
"GSM2403075_6247004023_R03C01","ETMR","ETMR","#1693d6"
"GSM2403076_6247004024_R03C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2403077_6247004027_R01C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403078_6247004027_R02C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403079_6247004027_R03C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403080_6247004027_R05C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403081_6247004027_R06C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403082_6247004027_R04C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403083_6247004027_R05C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2403084_6247004024_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403085_6247004024_R05C02","LGG, PA MID","MCF PA","#b890e0"
"GSM2403086_6247004027_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403087_6229017111_R06C01","GBM, MES","MCF GBM ","#538533"
"GSM2403088_6229017103_R06C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403089_6229017111_R01C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403090_6229017111_R02C02","GBM, RTK I","MCF GBM ","#68c62d"
"GSM2403091_6229017111_R04C02","GBM, MES","MCF GBM ","#538533"
"GSM2403092_6229017120_R01C01","GBM, MES","MCF GBM ","#538533"
"GSM2403093_6229017120_R02C01","GBM, MES","MCF GBM ","#538533"
"GSM2403094_6229017120_R04C01","GBM, MES","MCF GBM ","#538533"
"GSM2403095_6229017120_R05C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403096_6229017120_R02C02","GBM, MES","MCF GBM ","#538533"
"GSM2403097_6229017103_R03C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403098_6229017103_R04C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403099_6229017111_R01C01","GBM, MES","MCF GBM ","#538533"
"GSM2403100_6229017103_R05C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403101_6229017111_R04C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403102_6229017111_R05C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403103_6929793058_R01C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403104_6929793058_R02C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403105_6969568010_R04C01","GBM, MES","MCF GBM ","#538533"
"GSM2403106_6969568010_R01C01","GBM, MES","MCF GBM ","#538533"
"GSM2403107_6969568010_R02C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403108_6969568010_R03C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403109_6969568010_R05C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403110_6969568010_R02C02","GBM, RTK I","MCF GBM ","#68c62d"
"GSM2403111_6969568010_R04C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403112_6969568103_R03C01","DMG, K27","DMG, K27","#a3f187"
"GSM2403113_6969568103_R03C02","GBM, G34","GBM, G34","#55c056"
"GSM2403114_6969568103_R06C01","GBM, G34","GBM, G34","#55c056"
"GSM2403115_6969568103_R01C01","DMG, K27","DMG, K27","#a3f187"
"GSM2403116_6969568103_R02C02","GBM, G34","GBM, G34","#55c056"
"GSM2403117_6969568103_R02C01","DMG, K27","DMG, K27","#a3f187"
"GSM2403118_6969568103_R05C01","GBM, G34","GBM, G34","#55c056"
"GSM2403119_6969568103_R04C01","DMG, K27","DMG, K27","#a3f187"
"GSM2403120_6285641004_R02C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403121_6285641004_R05C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403122_6285641005_R05C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403123_6285641005_R01C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403124_6285641005_R06C01","GBM, RTK I","MCF GBM ","#68c62d"
"GSM2403125_6285641004_R06C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2403126_6285641012_R03C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403127_6285641010_R03C01","EPN, PF B","EPN, PF B","#df3854"
"GSM2403128_6285641010_R02C01","EPN, PF B","EPN, PF B","#df3854"
"GSM2403129_6752625054_R01C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403130_6752625054_R04C01","MB, SHH CHL AD","MCF MB SHH ","#2e80c6"
"GSM2403131_6752625054_R05C01","MB, G3","MCF MB G3G4","#0581be"
"GSM2403132_6752625054_R06C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2403133_6752625054_R01C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403134_6752625054_R02C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403135_6752625054_R03C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2403136_6752625054_R04C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2403137_6752625054_R05C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403138_6752625054_R06C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403139_6752625051_R02C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403140_6752625051_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403141_6752625051_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403142_6752625051_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403143_6752625079_R05C01","MB, WNT","MB, WNT","#6da7d9"
"GSM2403144_6752625079_R06C01","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403145_6752625079_R01C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403146_6752625079_R02C02","MB, G4","MCF MB G3G4","#9dc3f5"
"GSM2403147_6752625079_R03C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2403148_6752625079_R04C02","MB, WNT","MB, WNT","#6da7d9"
"GSM2403149_6752625095_R05C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403150_6752625095_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403151_6752625095_R02C02","LGG, PA MID","MCF PA","#b890e0"
"GSM2403152_6752625095_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403153_6752625095_R04C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403154_6752625095_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403155_6752625088_R03C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2403156_6752625088_R04C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403157_6752625088_R05C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403158_6752625088_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403159_6752625088_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403160_6752625088_R04C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403161_6752625088_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403162_6752625089_R01C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403163_6752625089_R03C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403164_6752625089_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403165_6752625089_R01C02","LGG, PA MID","MCF PA","#b890e0"
"GSM2403166_6752625089_R02C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403167_6752625089_R04C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403168_6752625089_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403169_6752625091_R01C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403170_6752625091_R02C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2403171_6752625091_R03C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403172_6752625091_R04C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403173_6752625091_R05C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403174_6752625091_R06C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403175_6752625091_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403176_6752625091_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403177_6752625091_R05C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403178_6752625091_R06C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403179_6752625095_R01C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403180_6752625095_R03C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403181_6752625095_R04C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2403182_6752625107_R05C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403183_6752625106_R01C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403184_6752625107_R01C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403185_6752625107_R04C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403186_6752625107_R01C01","EPN, PF A","EPN, PF A","#e30149"
"GSM2403187_6929806024_R01C01","SUBEPN, ST","SUBEPN, ST","#ff4156"
"GSM2403188_6929806024_R03C01","EPN, PF A","EPN, PF A","#e30149"
"GSM2403189_6929806024_R02C01","HGNET, BCOR","HGNET, BCOR","#739aca"
"GSM2403190_6929806024_R02C02","GBM, G34","GBM, G34","#55c056"
"GSM2403191_6929806024_R04C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403192_6929806024_R06C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403193_6929806038_R01C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403194_6929806038_R02C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403195_6929806038_R03C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403196_6929806038_R04C01","SUBEPN, ST","SUBEPN, ST","#ff4156"
"GSM2403197_6929806038_R05C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403198_6929806038_R04C02","SUBEPN, ST","SUBEPN, ST","#ff4156"
"GSM2403199_6929806038_R05C02","PTPR, B","PTPR, B","#bfff9c"
"GSM2403200_6929806038_R06C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403201_6929806046_R01C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403202_6929806046_R02C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403203_6929806046_R03C01","EPN, YAP","EPN, YAP","#fe576c"
"GSM2403204_6929806046_R04C01","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403205_6929806046_R06C01","SUBEPN, ST","SUBEPN, ST","#ff4156"
"GSM2403206_6929806046_R03C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403207_6929806046_R04C02","SUBEPN, ST","SUBEPN, ST","#ff4156"
"GSM2403208_6929806046_R05C02","EPN, RELA","EPN, RELA","#d84c4b"
"GSM2403209_6929806048_R02C01","LGG, MYB","LGG, MYB","#9159de"
