"Sample","meth.class","meth.family","col"
"GSM2405444_3999875115_R01C01","GBM, RTK I","MCF GBM ","#68c62d"
"GSM2405445_3999875115_R02C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405446_3999875115_R01C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405447_3999875115_R02C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405448_3999875052_R05C01","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2405449_3999875052_R01C02","ATRT, MYC","MCF ATRT","#006ead"
"GSM2405450_3999875052_R02C02","ATRT, MYC","MCF ATRT","#006ead"
"GSM2405451_3999543042_R02C01","ANA PA","ANA PA","#734ba9"
"GSM2405452_3999543050_R01C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405453_3999543050_R02C02","GBM, MID","MCF GBM ","#27780d"
"GSM2405454_3999543051_R05C01","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405455_3999543051_R02C02","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405456_3999543051_R03C02","LGG, MYB","LGG, MYB","#9159de"
"GSM2405457_3999547142_R02C02","GBM, MES","MCF GBM ","#538533"
"GSM2405458_3999100031_R03C01","ANA PA","ANA PA","#734ba9"
"GSM2405459_3999100031_R01C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2405460_3999100031_R03C02","LGG, PA PF","MCF PA","#9d73c9"
"GSM2405461_3999100031_R04C02","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405462_3999100031_R06C02","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405463_3999100033_R01C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405464_3999100033_R02C02","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405465_3999100033_R06C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405466_3999100034_R06C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405467_3999100034_R03C02","GBM, MES","MCF GBM ","#538533"
"GSM2405468_3999100047_R06C01","LGG, MYB","LGG, MYB","#9159de"
"GSM2405469_3999100047_R01C02","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405470_3999100065_R06C02","GBM, MES","MCF GBM ","#538533"
"GSM2405471_3999112130_R04C01","PITUI","PITUI","#58d8db"
